,Unnamed: 0,Flight.No,Airline,Flight.Type,Scheduled.Departure,Departure,Scheduled.Arrival,Arrival,Flight.Status,Justification,Airport.From,Airport.To,Longitude.To,Latitude.To,Longitude.From,Latitude.From,Departure.Delay,Arrival.Delay,Distance.In.Meters,Flight.No2,AirLine.Code,Departure_Date
67857,195981,AZU - 5126,AZUL,Domestic,2016-03-15 05:52:00,2016-03-15 05:50:00,2016-03-15 07:42:00,2016-03-15 07:36:00,Confirmed,ANTECIPATION,SBSV,SBCF,-43.965396,-19.634099,-38.3312411,-12.9110977,-2.0,-6.0,956892.391655739,5126,AZU,2016-03-15 05:52:00
67862,195986,AZU - 5127,AZUL,Domestic,2016-03-15 22:31:00,2016-03-20 22:28:00,2016-03-16 00:18:00,2016-03-21 00:11:00,Confirmed,ANTECIPATION,SBCF,SBSV,-38.3312411,-12.9110977,-43.965396,-19.634099,7197.0,7193.0,956892.391655739,5127,AZU,2016-03-15 22:31:00
67884,196008,AZU - 5127,AZUL,Domestic,2016-03-15 22:31:00,2016-03-15 22:24:00,2016-03-16 00:18:00,2016-03-16 00:05:00,Confirmed,ANTECIPATION,SBCF,SBSV,-38.3312411,-12.9110977,-43.965396,-19.634099,-7.0,-13.0,956892.391655739,5127,AZU,2016-03-15 22:31:00
67899,196023,AZU - 5128,AZUL,Domestic,2016-03-15 13:12:00,2016-03-15 13:02:00,2016-03-15 14:20:00,2016-03-15 14:18:00,Confirmed,ANTECIPATION,SBCT,SBLO,-51.1331599,-23.3320714,-49.1724811,-25.5327132,-10.0,-2.0,314548.239531035,5128,AZU,2016-03-15 13:12:00
67915,196039,AZU - 5129,AZUL,Regional,2016-03-15 14:45:00,2016-03-15 14:45:00,2016-03-15 15:40:00,2016-03-15 15:40:00,Confirmed,,SBLO,SBCT,-49.1724811,-25.5327132,-51.1331599,-23.3320714,0.0,0.0,314548.239531035,5129,AZU,2016-03-15 14:45:00
67925,196049,AZU - 5129,AZUL,Domestic,2016-03-15 14:45:00,2016-03-20 15:27:00,2016-03-15 15:40:00,2016-03-20 16:21:00,Confirmed,AIRPLANE FAULT,SBLO,SBCT,-49.1724811,-25.5327132,-51.1331599,-23.3320714,7242.0,7241.0,314548.239531035,5129,AZU,2016-03-15 14:45:00
67959,196083,AZU - 5130,AZUL,Regional,2016-03-15 20:25:00,2016-03-15 20:25:00,2016-03-15 21:25:00,2016-03-15 21:25:00,Confirmed,,SBKP,SJTC,-49.0721697,-22.1659922,-47.1375685,-23.008205,0.0,0.0,219711.700575468,5130,AZU,2016-03-15 20:25:00
67974,196098,AZU - 5131,AZUL,Domestic,2016-03-15 05:50:00,2016-03-15 05:44:00,2016-03-15 06:49:00,2016-03-15 06:32:00,Confirmed,ANTECIPATION,SJTC,SBKP,-47.1375685,-23.008205,-49.0721697,-22.1659922,-6.0,-17.0,219711.700575468,5131,AZU,2016-03-15 05:50:00
68003,196127,AZU - 5132,AZUL,Domestic,2016-03-15 22:11:00,2016-03-15 21:57:00,2016-03-15 23:45:00,2016-03-15 23:09:00,Confirmed,ANTECIPATION,SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,-14.0,-36.0,344156.300783255,5132,AZU,2016-03-15 22:11:00
68008,196132,AZU - 5132,AZUL,Domestic,2016-03-15 22:11:00,2016-03-20 22:04:00,2016-03-15 23:45:00,2016-03-20 23:06:00,Confirmed,ANTECIPATION,SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,7193.0,7161.0,344156.300783255,5132,AZU,2016-03-15 22:11:00
68024,196148,AZU - 5133,AZUL,Domestic,2016-03-15 05:55:00,,2016-03-15 07:00:00,,Cancelled,AUTHORIZED (O),SBGR,SBRJ,-43.1648755,-22.9111438,-46.478126,-23.4345529,,,344156.300783255,5133,AZU,2016-03-15 05:55:00
68054,196178,AZU - 5138,AZUL,Domestic,2016-03-15 11:22:00,2016-03-15 11:17:00,2016-03-15 12:55:00,2016-03-15 12:44:00,Confirmed,ANTECIPATION,SBKP,SBPF,-52.3296274,-28.2428363,-47.1375685,-23.008205,-5.0,-11.0,779648.688713922,5138,AZU,2016-03-15 11:22:00
68072,196196,AZU - 5139,AZUL,Domestic,2016-03-15 13:25:00,2016-03-15 13:12:00,2016-03-15 15:03:00,2016-03-15 14:50:00,Confirmed,ANTECIPATION,SBPF,SBKP,-47.1375685,-23.008205,-52.3296274,-28.2428363,-13.0,-13.0,779648.688713922,5139,AZU,2016-03-15 13:25:00
68090,196214,AZU - 5140,AZUL,Domestic,2016-03-15 07:05:00,2016-03-15 06:54:00,2016-03-15 08:07:00,2016-03-15 07:47:00,Confirmed,ANTECIPATION,SBLO,SBCT,-49.1724811,-25.5327132,-51.1331599,-23.3320714,-11.0,-20.0,314548.239531035,5140,AZU,2016-03-15 07:05:00
68118,196242,AZU - 5141,AZUL,Domestic,2016-03-15 21:23:00,2016-03-15 21:22:00,2016-03-15 22:40:00,2016-03-15 22:38:00,Confirmed,ANTECIPATION,SBCT,SBLO,-51.1331599,-23.3320714,-49.1724811,-25.5327132,-1.0,-2.0,314548.239531035,5141,AZU,2016-03-15 21:23:00
68130,196254,AZU - 5141,AZUL,Domestic,2016-03-15 21:23:00,2016-03-20 21:15:00,2016-03-15 22:40:00,2016-03-20 22:33:00,Confirmed,ANTECIPATION,SBCT,SBLO,-51.1331599,-23.3320714,-49.1724811,-25.5327132,7192.0,7193.0,314548.239531035,5141,AZU,2016-03-15 21:23:00
68165,196289,AZU - 5145,AZUL,Domestic,2016-03-15 14:20:00,2016-03-15 14:15:00,2016-03-15 15:34:00,2016-03-15 15:31:00,Confirmed,ANTECIPATION,SBCA,SBCT,-49.1724811,-25.5327132,-53.501918,-25.001815,-5.0,-3.0,440033.183044158,5145,AZU,2016-03-15 14:20:00
68169,196293,AZU - 5145,AZUL,Regional,2016-03-15 14:20:00,2016-03-15 14:20:00,2016-03-15 15:34:00,2016-03-15 15:34:00,Confirmed,,SBCA,SBCT,-49.1724811,-25.5327132,-53.501918,-25.001815,0.0,0.0,440033.183044158,5145,AZU,2016-03-15 14:20:00
68190,196314,AZU - 5147,AZUL,Domestic,2016-03-15 16:12:00,2016-03-15 17:12:00,2016-03-15 17:35:00,2016-03-15 18:37:00,Confirmed,AIRCRAFT EXCHANGE,SBCT,SBCA,-53.501918,-25.001815,-49.1724811,-25.5327132,60.0,62.0,440033.183044158,5147,AZU,2016-03-15 16:12:00
68199,196323,AZU - 5147,AZUL,Regional,2016-03-15 16:12:00,2016-03-15 16:12:00,2016-03-15 17:35:00,2016-03-15 17:35:00,Confirmed,,SBCT,SBCA,-53.501918,-25.001815,-49.1724811,-25.5327132,0.0,0.0,440033.183044158,5147,AZU,2016-03-15 16:12:00
68206,196330,AZU - 5148,AZUL,Domestic,2016-03-15 21:02:00,2016-03-20 21:03:00,2016-03-15 22:35:00,2016-03-20 22:26:00,Confirmed,ANTECIPATION,SBCF,SBGO,-49.2221166,-16.632488,-43.965396,-19.634099,7201.0,7191.0,647858.749599634,5148,AZU,2016-03-15 21:02:00
68212,196336,AZU - 5148,AZUL,Domestic,2016-03-15 21:02:00,2016-03-15 20:51:00,2016-03-15 22:35:00,2016-03-15 22:16:00,Confirmed,ANTECIPATION,SBCF,SBGO,-49.2221166,-16.632488,-43.965396,-19.634099,-11.0,-19.0,647858.749599634,5148,AZU,2016-03-15 21:02:00
68237,196361,AZU - 5149,AZUL,Domestic,2016-03-15 06:45:00,2016-03-15 06:36:00,2016-03-15 08:03:00,2016-03-15 07:52:00,Confirmed,ANTECIPATION,SBGO,SBCF,-43.965396,-19.634099,-49.2221166,-16.632488,-9.0,-11.0,647858.749599634,5149,AZU,2016-03-15 06:45:00
68277,196401,AZU - 5150,AZUL,Domestic,2016-03-15 23:45:00,2016-03-15 23:30:00,2016-03-16 00:40:00,2016-03-16 00:30:00,Confirmed,ANTECIPATION,SBPA,SBPK,-52.3279312,-31.71795,-51.1753811,-29.9934732,-15.0,-10.0,220688.237356351,5150,AZU,2016-03-15 23:45:00
68284,196408,AZU - 5150,AZUL,Domestic,2016-03-15 23:45:00,2016-03-20 23:59:00,2016-03-16 00:40:00,2016-03-21 01:04:00,Confirmed,AIR TRAFFIC LIBERATION/ANTECIPATION,SBPA,SBPK,-52.3279312,-31.71795,-51.1753811,-29.9934732,7214.0,7224.0,220688.237356351,5150,AZU,2016-03-15 23:45:00
68295,196419,AZU - 5151,AZUL,Domestic,2016-03-15 05:00:00,2016-03-15 04:50:00,2016-03-15 05:48:00,2016-03-15 05:40:00,Confirmed,ANTECIPATION,SBPK,SBPA,-51.1753811,-29.9934732,-52.3279312,-31.71795,-10.0,-8.0,220688.237356351,5151,AZU,2016-03-15 05:00:00
68336,196460,AZU - 5155,AZUL,Domestic,2016-03-15 17:07:00,2016-03-15 17:07:00,2016-03-15 19:12:00,2016-03-15 19:12:00,Confirmed,,SBCY,SBKP,-47.1375685,-23.008205,-56.1172687,-15.6530786,0.0,0.0,1245565.19801259,5155,AZU,2016-03-15 17:07:00
68340,196464,AZU - 5155,AZUL,Domestic,2016-03-15 17:07:00,2016-03-15 17:02:00,2016-03-15 19:12:00,2016-03-15 18:59:00,Confirmed,ANTECIPATION,SBCY,SBKP,-47.1375685,-23.008205,-56.1172687,-15.6530786,-5.0,-13.0,1245565.19801259,5155,AZU,2016-03-15 17:07:00
68346,196470,AZU - 5156,AZUL,Regional,2016-03-15 11:50:00,2016-03-15 11:50:00,2016-03-15 12:45:00,2016-03-15 12:45:00,Confirmed,,SBPA,SBPK,-52.3279312,-31.71795,-51.1753811,-29.9934732,0.0,0.0,220688.237356351,5156,AZU,2016-03-15 11:50:00
68387,196511,AZU - 5157,AZUL,Domestic,2016-03-15 13:10:00,2016-03-15 13:06:00,2016-03-15 14:00:00,2016-03-15 13:56:00,Confirmed,ANTECIPATION,SBPK,SBPA,-51.1753811,-29.9934732,-52.3279312,-31.71795,-4.0,-4.0,220688.237356351,5157,AZU,2016-03-15 13:10:00
68390,196514,AZU - 5158,AZUL,Domestic,2016-03-15 03:15:00,2016-03-15 03:02:00,2016-03-15 05:12:00,2016-03-15 05:10:00,Confirmed,ANTECIPATION,SBCY,SBKP,-47.1375685,-23.008205,-56.1172687,-15.6530786,-13.0,-2.0,1245565.19801259,5158,AZU,2016-03-15 03:15:00
68429,196553,AZU - 5164,AZUL,Regional,2016-03-15 21:00:00,,2016-03-15 22:30:00,,Cancelled,CANCELLED FOR TECHNICAL REASONS,SBKP,SBPF,-52.3296274,-28.2428363,-47.1375685,-23.008205,,,779648.688713922,5164,AZU,2016-03-15 21:00:00
68451,196575,AZU - 5164,AZUL,Domestic,2016-03-15 21:00:00,2016-03-15 20:43:00,2016-03-15 22:30:00,2016-03-15 22:25:00,Confirmed,ANTECIPATION,SBKP,SBPF,-52.3296274,-28.2428363,-47.1375685,-23.008205,-17.0,-5.0,779648.688713922,5164,AZU,2016-03-15 21:00:00
68454,196578,AZU - 5165,AZUL,Domestic,2016-03-15 06:43:00,2016-03-15 06:36:00,2016-03-15 08:16:00,2016-03-15 07:57:00,Confirmed,ANTECIPATION,SBPF,SBKP,-47.1375685,-23.008205,-52.3296274,-28.2428363,-7.0,-19.0,779648.688713922,5165,AZU,2016-03-15 06:43:00
68481,196605,AZU - 5166,AZUL,Domestic,2016-03-15 09:42:00,2016-03-15 09:37:00,2016-03-15 10:56:00,2016-03-15 10:42:00,Confirmed,ANTECIPATION,SBCF,SBRJ,-43.1648755,-22.9111438,-43.965396,-19.634099,-5.0,-14.0,372223.058964424,5166,AZU,2016-03-15 09:42:00
68508,196632,AZU - 5168,AZUL,Domestic,2016-03-15 16:42:00,2016-03-15 16:30:00,2016-03-15 18:22:00,2016-03-15 18:00:00,Confirmed,ANTECIPATION,SBKP,SBCH,-52.6606432,-27.1341385,-47.1375685,-23.008205,-12.0,-22.0,720510.772065974,5168,AZU,2016-03-15 16:42:00
68537,196661,AZU - 5169,AZUL,Domestic,2016-03-15 18:58:00,2016-03-20 18:45:00,2016-03-15 20:23:00,2016-03-20 20:09:00,Confirmed,ANTECIPATION,SBCH,SBKP,-47.1375685,-23.008205,-52.6606432,-27.1341385,7187.0,7186.0,720510.772065974,5169,AZU,2016-03-15 18:58:00
68543,196667,AZU - 5169,AZUL,Domestic,2016-03-15 18:58:00,2016-03-15 18:45:00,2016-03-15 20:23:00,2016-03-15 19:58:00,Confirmed,ANTECIPATION,SBCH,SBKP,-47.1375685,-23.008205,-52.6606432,-27.1341385,-13.0,-25.0,720510.772065974,5169,AZU,2016-03-15 18:58:00
68562,196686,AZU - 5170,AZUL,Domestic,2016-03-15 07:14:00,2016-03-15 07:09:00,2016-03-15 09:07:00,2016-03-15 08:51:00,Confirmed,ANTECIPATION,SBPA,SBFI,-54.4909265,-25.5938142,-51.1753811,-29.9934732,-5.0,-16.0,586828.248203486,5170,AZU,2016-03-15 07:14:00
68606,196730,AZU - 5173,AZUL,Domestic,2016-03-15 09:35:00,2016-03-15 09:25:00,2016-03-15 11:15:00,2016-03-15 11:10:00,Confirmed,ANTECIPATION,SBFI,SBPA,-51.1753811,-29.9934732,-54.4909265,-25.5938142,-10.0,-5.0,586828.248203486,5173,AZU,2016-03-15 09:35:00
68624,196748,AZU - 5173,AZUL,Regional,2016-03-15 09:35:00,2016-03-15 09:35:00,2016-03-15 11:15:00,2016-03-15 11:15:00,Confirmed,,SBFI,SBPA,-51.1753811,-29.9934732,-54.4909265,-25.5938142,0.0,0.0,586828.248203486,5173,AZU,2016-03-15 09:35:00
68635,196759,AZU - 5174,AZUL,Domestic,2016-03-15 19:50:00,2016-03-15 19:45:00,2016-03-15 21:30:00,2016-03-15 20:54:00,Confirmed,ANTECIPATION,SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,-5.0,-36.0,344156.300783255,5174,AZU,2016-03-15 19:50:00
68661,196785,AZU - 5176,AZUL,Regional,2016-03-15 09:13:00,2016-03-15 09:13:00,2016-03-15 11:00:00,2016-03-15 11:00:00,Confirmed,,SBKP,SSTL,-51.6802404,-20.754857,-47.1375685,-23.008205,0.0,0.0,531604.956567159,5176,AZU,2016-03-15 09:13:00
68703,196827,AZU - 5177,AZUL,Domestic,2016-03-15 11:25:00,2016-03-15 11:25:00,2016-03-15 12:54:00,2016-03-15 12:47:00,Confirmed,ANTECIPATION,SSTL,SBKP,-47.1375685,-23.008205,-51.6802404,-20.754857,0.0,-7.0,531604.956567159,5177,AZU,2016-03-15 11:25:00
68714,196838,AZU - 5178,AZUL,Domestic,2016-03-15 16:02:00,2016-03-15 15:58:00,2016-03-15 17:45:00,2016-03-15 17:37:00,Confirmed,ANTECIPATION,SBKP,SSTL,-51.6802404,-20.754857,-47.1375685,-23.008205,-4.0,-8.0,531604.956567159,5178,AZU,2016-03-15 16:02:00
68726,196850,AZU - 5178,AZUL,Domestic,2016-03-15 16:02:00,2016-03-20 15:57:00,2016-03-15 17:45:00,2016-03-20 17:38:00,Confirmed,ANTECIPATION,SBKP,SSTL,-51.6802404,-20.754857,-47.1375685,-23.008205,7195.0,7193.0,531604.956567159,5178,AZU,2016-03-15 16:02:00
